Date,Open,High,Low,Close,Volume
4/4/2013,15.4914,15.5357,15.1875,15.2757,358658908
4/5/2013,15.1607,15.1768,14.9886,15.1143,383694320
4/8/2013,15.1732,15.2678,15.0889,15.2218,301059240
4/9/2013,15.2271,15.3036,15.0982,15.2493,306752764
4/10/2013,15.2893,15.6093,15.2146,15.5603,375927392
4/11/2013,15.49,15.6425,15.4,15.5118,328616756
4/12/2013,15.5053,15.5053,15.3246,15.35,238725380
4/15/2013,15.25,15.2818,14.9839,14.9946,317519112
4/16/2013,15.0561,15.2361,15.0203,15.2228,305771364
4/17/2013,15.0096,15.0214,14.2182,14.3857,945054704
4/18/2013,14.4639,14.4925,13.9193,14.0018,666297176
4/19/2013,13.8561,14.2714,13.7536,13.9475,609273440
4/22/2013,14.0228,14.3643,13.9741,14.2382,429918224
4/23/2013,14.4282,14.585,14.2432,14.5046,664236376
4/24/2013,14.055,14.8303,14.0178,14.4808,969834504
4/25/2013,14.6866,14.7836,14.5357,14.585,384836976
4/26/2013,14.6361,14.956,14.5803,14.9002,764276668
4/29/2013,15.0161,15.4863,15,15.3614,640325248
4/30/2013,15.5393,15.9018,15.4311,15.8136,691537968
5/1/2013,15.8736,15.8903,15.5139,15.6889,507155320
5/2/2013,15.7778,16.0211,15.7368,15.9114,422025184
5/3/2013,16.1182,16.1868,16.0411,16.0707,361527512
5/6/2013,16.2753,16.5071,16.2253,16.4539,496641200
5/7/2013,16.6061,16.6339,16.2036,16.3806,483752672
5/8/2013,16.3943,16.6203,16.2789,16.5657,472596568
5/9/2013,16.4218,16.5357,16.2707,16.3132,398750244
5/10/2013,16.3561,16.4182,16.0886,16.1775,334850260
5/13/2013,16.1253,16.3536,16.125,16.2407,317109500
5/14/2013,16.2089,16.2571,15.7911,15.8521,447116260
5/15/2013,15.6843,15.75,15.0843,15.3161,741613220
5/16/2013,15.1157,15.6375,14.9607,15.5206,603466456
5/17/2013,15.6803,15.7175,15.3932,15.4736,428079744
5/20/2013,15.4253,15.9214,15.3607,15.8189,451576356
5/21/2013,15.6482,15.91,15.5071,15.7021,456297416
5/22/2013,15.8589,16.0125,15.6507,15.7626,443259900
5/23/2013,15.5696,15.9343,15.5639,15.7907,353381240
5/24/2013,15.7446,15.9164,15.7271,15.8982,276426888
5/28/2013,16.0678,16.1111,15.7446,15.7657,386145108
5/29/2013,15.7143,15.9821,15.6928,15.8911,330783032
5/30/2013,15.9161,16.2321,15.8753,16.1278,353714944
5/31/2013,16.1607,16.325,16.0536,16.062,384300608
6/3/2013,16.0975,16.1557,15.8028,16.0971,372351708
6/4/2013,16.1864,16.2296,15.9782,16.0468,292726404
6/5/2013,15.9161,16.0971,15.8468,15.8968,290589636
6/6/2013,15.9096,15.9643,15.5018,15.6593,417074192
6/7/2013,15.5893,15.83,15.4561,15.7789,404743148
6/10/2013,15.8832,16.0385,15.6,15.6746,450356592
6/11/2013,15.5621,15.8128,15.4757,15.6286,286384396
6/12/2013,15.6964,15.7589,15.4107,15.4353,265426908
6/13/2013,15.4464,15.6121,15.3125,15.5702,286112600
